"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 10:30:04 IST 2024","Fri Feb 16 10:30:07 IST 2024","3554","","Nopcommerce Application","","","","user registration test",""
"passed","Fri Feb 16 10:30:13 IST 2024","Fri Feb 16 10:30:33 IST 2024","20494","","Nopcommerce Application","","","","Checking the item is added to the cart or not",""
"passed","Fri Feb 16 10:30:13 IST 2024","Fri Feb 16 10:30:13 IST 2024","431","","Nopcommerce Application","","","","""before each"" hook for Nopcommerce Application",""
"passed","Fri Feb 16 10:30:07 IST 2024","Fri Feb 16 10:30:10 IST 2024","2758","","Nopcommerce Application","","","","login with valid credentials",""
"passed","Fri Feb 16 10:30:10 IST 2024","Fri Feb 16 10:30:13 IST 2024","2699","","Nopcommerce Application","","","","Home page nav bar testing",""
